T,p_atm,H_kJ,G_kJ
100,1,140.844638,121.311814
100,10,140.844638,123.226276
100,20,140.844638,123.802599
100,30,140.844638,124.139713
100,40,140.844638,124.378896
100,50,140.844638,124.564440
100,60,140.844638,124.716010
100,70,140.844638,124.844187
100,80,140.844638,124.955220
100,90,140.844638,125.053151
100,100,140.844638,125.140737
200,1,144.521703,100.390914
200,10,144.521703,104.219864
200,20,144.521703,105.372484
200,30,144.521703,106.046713
200,40,144.521703,106.525105
200,50,144.521703,106.896167
200,60,144.521703,107.199360
200,70,144.521703,107.455687
200,80,144.521703,107.677726
200,90,144.521703,107.873588
200,100,144.521703,108.048787
300,1,148.663455,77.453447
300,10,148.663455,83.196832
300,20,148.663455,84.925776
300,30,148.663455,85.937145
300,40,148.663455,86.654720
300,50,148.663455,87.211300
300,60,148.663455,87.666089
300,70,148.663455,88.050593
300,80,148.663455,88.383664
300,90,148.663455,88.677431
300,100,148.663455,88.940244
400,1,153.496947,53.012303
400,10,153.496947,60.670176
400,20,153.496947,62.975418
400,30,153.496947,64.323901
400,40,153.496947,65.280659
400,50,153.496947,66.022783
400,60,153.496947,66.629142
400,70,153.496947,67.141823
400,80,153.496947,67.585900
400,90,153.496947,67.977625
400,100,153.496947,68.328024
500,1,159.160859,27.255574
500,10,159.160859,36.827909
500,20,159.160859,39.709474
500,30,159.160859,41.395071
500,40,159.160859,42.591039
500,50,159.160859,43.518680
500,60,159.160859,44.276636
500,70,159.160859,44.917468
500,80,159.160859,45.472603
500,90,159.160859,45.962259
500,100,159.160859,46.400245
600,1,165.632505,0.282110
600,10,165.632505,11.768907
600,20,165.632505,15.226795
600,30,165.632505,17.249506
600,40,165.632505,18.684657
600,50,165.632505,19.797842
600,60,165.632505,20.707394
600,70,165.632505,21.476377
600,80,165.632505,22.142519
600,90,165.632505,22.730105
600,100,165.632505,23.255704
700,1,172.828737,-27.832974
700,10,172.828737,-14.431715
700,20,172.828737,-10.397530
700,30,172.828737,-8.037678
700,40,172.828737,-6.363345
700,50,172.828737,-5.064615
700,60,172.828737,-4.003493
700,70,172.828737,-3.106307
700,80,172.828737,-2.329159
700,90,172.828737,-1.643642
700,100,172.828737,-1.030430
800,1,180.662545,-57.023646
800,10,180.662545,-41.707899
800,20,180.662545,-37.097391
800,30,180.662545,-34.400425
800,40,180.662545,-32.486908
800,50,180.662545,-31.002661
800,60,180.662545,-29.789943
800,70,180.662545,-28.764580
800,80,180.662545,-27.876400
800,90,180.662545,-27.092951
800,100,180.662545,-26.392152
900,1,189.057423,-87.230098
900,10,189.057423,-69.999889
900,20,189.057423,-64.813084
900,30,189.057423,-61.778977
900,40,189.057423,-59.626252
900,50,189.057423,-57.956486
900,60,189.057423,-56.592172
900,70,189.057423,-55.438658
900,80,189.057423,-54.439446
900,90,189.057423,-53.558092
900,100,189.057423,-52.769681
1000,1,197.947706,-118.397982
1000,10,197.947706,-99.253311
1000,20,197.947706,-93.490182
1000,30,197.947706,-90.118988
1000,40,197.947706,-87.727079
1000,50,197.947706,-85.871770
1000,60,197.947706,-84.355859
1000,70,197.947706,-83.074195
1000,80,197.947706,-81.963950
1000,90,197.947706,-80.984638
1000,100,197.947706,-80.108641
